,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Castro,BR,-24.7911,-50.0119,65.79,92,56,1.72,broken clouds
135,Zeya,RU,53.75,127.2667,14.5,43,58,1.21,broken clouds
136,Porto Walter,BR,-8.2686,-72.7439,88.14,52,72,5.61,broken clouds
137,Minas,UY,-34.3759,-55.2377,61.27,75,38,10.18,scattered clouds
138,Codrington,AU,-38.2667,141.9667,54.36,57,100,7.31,overcast clouds
139,Mackay,AU,-21.15,149.2,80.69,78,82,3.44,broken clouds
140,Dikson,RU,73.5069,80.5464,17.28,95,100,5.28,light snow
141,Linxia,CN,35.6003,103.2064,12.04,86,81,1.79,broken clouds
142,Beloha,MG,-25.1667,45.05,67.15,74,23,11.99,few clouds
143,Necochea,AR,-38.5473,-58.7368,55.04,56,99,11.9,overcast clouds
144,Khatanga,RU,71.9667,102.5,13.96,95,100,11.12,light snow
145,Navrongo,GH,10.8956,-1.0921,85.57,38,71,5.95,broken clouds
146,Along,IN,28.1667,94.7667,54.57,75,23,1.63,few clouds
147,Cabo San Lucas,MX,22.8909,-109.9124,90.52,57,65,7.07,broken clouds
148,Kinkala,CG,-4.3614,14.7644,71.6,95,100,1.83,overcast clouds
149,Grindavik,IS,63.8424,-22.4338,37.35,87,90,19.57,overcast clouds
150,Ilulissat,GL,69.2167,-51.1,17.62,49,40,16.11,scattered clouds
151,Sinnar,SD,13.5691,33.5672,85.87,27,4,7.99,clear sky
152,Chicama,PE,-7.8447,-79.1469,64.94,71,83,9.66,broken clouds
153,Hithadhoo,MV,-0.6,73.0833,83.1,71,97,18.39,overcast clouds
154,Andilamena,MG,-17.0167,48.5833,63.95,87,92,5.46,overcast clouds
155,Batagay,RU,67.6333,134.6333,-3.14,95,100,3.36,overcast clouds
156,Lebu,CL,-37.6167,-73.65,54.81,83,24,15.26,few clouds
157,Nome,US,64.5011,-165.4064,17.67,73,75,6.91,broken clouds
158,Roald,NO,62.5833,6.1333,42.33,70,0,16.11,clear sky
159,Alto Araguaia,BR,-17.3147,-53.2153,71.04,92,89,6.44,heavy intensity rain
160,Avera,US,33.194,-82.5271,52.48,33,100,16.42,overcast clouds
161,Trelew,AR,-43.249,-65.3051,78.94,15,2,30.2,clear sky
162,Meulaboh,ID,4.1363,96.1285,74.52,92,100,6.26,heavy intensity rain
163,Patuli,IN,23.55,88.25,66.45,61,9,4.27,clear sky
164,Isla Vista,US,34.4133,-119.861,77.68,69,90,8.05,mist
165,Chuy,UY,-33.6971,-53.4616,58.51,69,32,8.9,scattered clouds
166,Klaksvik,FO,62.2266,-6.589,47.32,95,100,12.03,overcast clouds
167,Kaitangata,NZ,-46.2817,169.8464,62.92,65,14,4.68,few clouds
168,Bethel,US,41.3712,-73.414,50.85,61,0,1.7,clear sky
169,Bhopalwala,PK,32.4289,74.3633,60.69,72,0,0.0,smoke
170,Forio,IT,40.7342,13.8646,64.42,77,100,25.3,overcast clouds
171,Maxixe,MZ,-23.8597,35.3472,73.22,90,54,9.04,broken clouds
172,Karoi,ZW,-16.8099,29.6925,73.11,35,0,6.78,clear sky
173,Pangnirtung,CA,66.1451,-65.7125,12.29,57,20,10.31,few clouds
174,Le Port,RE,-20.9373,55.2919,72.61,90,5,2.48,clear sky
175,Ahuimanu,US,21.4447,-157.8378,85.71,68,75,13.8,broken clouds
176,Lompoc,US,34.6391,-120.4579,75.02,66,1,12.66,clear sky
177,Constitucion,CL,-35.3333,-72.4167,57.11,76,6,9.51,clear sky
178,Ati,TD,13.2154,18.3353,86.22,18,2,10.16,clear sky
179,Portland,US,45.5234,-122.6762,54.45,77,75,1.01,broken clouds
180,Flekkefjord,NO,58.2971,6.6607,52.05,91,100,8.21,overcast clouds
181,Yulara,AU,-25.2406,130.9889,67.84,83,87,4.61,overcast clouds
182,Lebowakgomo,ZA,-24.2,29.5,70.7,58,87,3.89,overcast clouds
183,Coquimbo,CL,-29.9533,-71.3436,60.53,67,20,11.5,few clouds
184,Gizo,SB,-8.103,156.8419,83.71,70,3,5.57,clear sky
185,Vardo,NO,70.3705,31.1107,34.79,57,100,17.76,light rain
186,Luderitz,NA,-26.6481,15.1594,59.27,71,84,18.84,broken clouds
187,Tottori,JP,35.5,134.2333,48.27,93,20,8.05,few clouds
188,Nikolskoye,RU,59.7035,30.7861,40.87,83,79,9.19,light rain
189,Toowoomba,AU,-27.55,151.9667,66.94,92,84,7.02,broken clouds
190,Pevek,RU,69.7008,170.3133,-3.33,83,39,11.34,scattered clouds
191,Martapura,ID,-3.4167,114.85,77.09,100,90,4.61,overcast clouds
192,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,4.61,scattered clouds
193,Hecun,CN,36.5333,114.1111,36.07,91,100,6.2,light rain
194,Hope,US,33.6671,-93.5916,65.98,41,0,1.48,clear sky
195,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,77,43,10.96,scattered clouds
196,Hamilton,US,39.1834,-84.5333,57.83,40,1,1.01,clear sky
197,Zambezi,ZM,-13.5432,23.1047,71.71,50,17,2.53,few clouds
198,State College,US,40.7934,-77.86,52.74,37,1,5.75,clear sky
199,Wilmington,US,34.2257,-77.9447,60.71,77,90,18.41,overcast clouds
200,Kalat,PK,29.0225,66.5916,46.63,40,2,0.85,clear sky
201,Nanortalik,GL,60.1432,-45.2371,30.96,75,89,10.71,overcast clouds
202,Atasu,KZ,48.6814,71.6433,25.57,22,95,2.62,overcast clouds
203,Namatanai,PG,-3.6667,152.4333,83.39,71,72,9.69,light rain
204,Tilichiki,RU,60.4667,166.1,25.45,92,99,4.07,overcast clouds
205,Mulege,MX,26.8833,-111.9833,86.07,34,100,8.77,overcast clouds
206,Oda,JP,35.1833,132.5,47.17,79,3,7.09,clear sky
207,Guican,CO,6.4618,-72.4113,53.71,85,97,0.54,overcast clouds
208,Sitka,US,57.0531,-135.33,44.49,70,40,9.22,light rain
209,Uyuni,BO,-20.4597,-66.825,60.39,3,6,10.89,clear sky
210,Numaligarh,IN,26.6333,93.75,61.07,94,65,0.76,broken clouds
211,Gualeguaychu,AR,-33.0094,-58.5172,72.03,43,59,8.77,broken clouds
212,Victoria,HK,22.2855,114.1577,78.33,89,0,1.99,clear sky
213,Ancud,CL,-41.8697,-73.8203,62.42,74,23,10.47,few clouds
214,Jacareacanga,BR,-6.2222,-57.7528,75.15,96,84,3.44,broken clouds
215,Lazaro Cardenas,MX,17.9583,-102.2,83.16,75,98,8.72,overcast clouds
216,Pala,TD,9.3642,14.9046,79.34,55,55,4.03,broken clouds
217,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.77,89,100,13.8,overcast clouds
218,Anastacio,BR,-20.4836,-55.8069,77.9,73,98,6.96,overcast clouds
219,Camacha,PT,33.0833,-16.3333,65.16,72,40,14.97,scattered clouds
220,Padang,ID,-0.9492,100.3543,75.09,95,100,3.67,light rain
221,Provideniya,RU,64.3833,-173.3,12.76,89,66,4.12,broken clouds
222,Longyearbyen,SJ,78.2186,15.6401,17.44,57,40,10.36,scattered clouds
223,Ayagoz,KZ,47.9714,80.4392,2.64,90,10,4.56,clear sky
224,Itoman,JP,26.1247,127.6694,75.97,90,40,17.27,scattered clouds
225,Buala,SB,-8.145,159.5921,84.47,63,33,9.93,scattered clouds
226,Jishou,CN,28.3167,109.7167,58.91,95,100,10.2,light rain
227,La Ronge,CA,55.1001,-105.2842,39.45,87,90,3.44,overcast clouds
228,Kodiak,US,57.79,-152.4072,35.11,55,1,12.66,clear sky
229,Komsomolskiy,UZ,40.4272,71.7189,36.32,64,75,4.61,haze
230,Mikuni,JP,36.2171,136.1519,44.51,72,0,9.91,clear sky
231,Samarai,PG,-10.6167,150.6667,83.73,74,69,15.41,broken clouds
232,Sosva,RU,59.1766,61.8558,34.32,95,100,13.31,light rain
233,Kahului,US,20.8947,-156.47,87.82,65,20,23.02,few clouds
234,Narsaq,GL,60.9167,-46.05,28.62,81,100,8.93,overcast clouds
235,Airai,TL,-8.9266,125.4092,63.84,81,50,1.68,scattered clouds
236,Conceicao Da Barra,BR,-18.5933,-39.7322,71.96,80,67,6.6,broken clouds
237,Mount Gambier,AU,-37.8333,140.7667,51.71,82,90,4.61,overcast clouds
238,Kurilsk,RU,45.2333,147.8833,43.86,79,26,10.0,scattered clouds
239,Talcher,IN,20.95,85.2167,63.25,67,49,3.4,scattered clouds
240,Nouadhibou,MR,20.931,-17.0347,69.78,60,0,17.27,clear sky
