City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Nome,US,2021-11-06 03:21:19,64.5011,-165.4064,26.67,86,90,14.97
112,Syamzha,RU,2021-11-06 03:21:20,60.0158,41.0614,45.68,78,91,12.39
113,Dwarka,IN,2021-11-06 03:16:27,22.2394,68.9678,80.11,54,97,12.68
114,Carnarvon,AU,2021-11-06 03:21:20,-24.8667,113.6333,73.47,53,0,24.16
115,Kaitangata,NZ,2021-11-06 03:21:21,-46.2817,169.8464,58.93,71,99,13.73
116,Tasiilaq,GL,2021-11-06 03:21:22,65.6145,-37.6368,15.15,82,99,7.16
117,Vikhorevka,RU,2021-11-06 03:21:22,56.1201,101.1636,20.79,81,100,11.77
118,Paredon,MX,2021-11-06 03:21:23,16.0333,-93.8667,76.35,69,45,17.09
119,Roanoke,US,2021-11-06 03:21:23,37.271,-79.9414,40.33,84,1,0.0
120,Hilo,US,2021-11-06 03:21:24,19.7297,-155.09,85.28,75,1,4.61
121,Primorsko-Akhtarsk,RU,2021-11-06 03:21:24,46.0497,38.1747,50.36,90,45,7.29
122,Malanje,AO,2021-11-06 03:21:25,-9.5402,16.341,63.18,95,80,0.27
123,Olafsvik,IS,2021-11-06 03:21:26,64.8945,-23.7142,36.54,88,100,21.21
124,Guabito,PA,2021-11-06 03:21:26,9.5,-82.6167,77.25,91,77,3.53
125,Cabo San Lucas,MX,2021-11-06 03:20:13,22.8909,-109.9124,77.61,73,49,7.92
126,Aklavik,CA,2021-11-06 03:21:27,68.2191,-135.0107,20.23,96,100,5.73
127,Mount Gambier,AU,2021-11-06 03:21:27,-37.8333,140.7667,59.77,98,100,8.1
128,Te Anau,NZ,2021-11-06 03:21:28,-45.4167,167.7167,69.37,50,82,3.02
129,Paamiut,GL,2021-11-06 03:21:29,61.994,-49.6678,27.61,90,95,15.68
130,Hithadhoo,MV,2021-11-06 03:21:15,-0.6,73.0833,79.21,82,100,15.52
131,Sakakah,SA,2021-11-06 03:21:30,29.9697,40.2064,58.57,45,0,5.5
132,Bon Accord,CA,2021-11-06 03:21:30,53.8335,-113.4187,42.78,100,90,4.61
133,Alvaraes,BR,2021-11-06 03:21:31,-3.2208,-64.8042,75.09,90,49,1.86
134,Grindavik,IS,2021-11-06 03:21:31,63.8424,-22.4338,39.15,87,90,17.27
135,Stornoway,GB,2021-11-06 03:22:32,58.2093,-6.3865,49.96,93,75,13.8
136,Ketchikan,US,2021-11-06 03:22:32,55.3422,-131.6461,44.49,74,81,22.24
137,Shirokiy,RU,2021-11-06 03:22:33,49.758,129.523,21.97,54,100,16.28
138,Saint-Philippe,RE,2021-11-06 03:22:33,-21.3585,55.7679,79.48,73,0,6.06
139,Ikeda,JP,2021-11-06 03:22:34,34.8221,135.4298,66.0,57,75,3.44
140,Victoria,HK,2021-11-06 03:20:51,22.2855,114.1577,83.25,81,1,5.99
141,Leh,IN,2021-11-06 03:22:35,34.1667,77.5833,23.92,83,86,2.57
142,Busselton,AU,2021-11-06 03:22:35,-33.65,115.3333,60.69,46,48,3.44
143,Kralendijk,BQ,2021-11-06 03:22:35,12.15,-68.2667,82.38,78,40,14.97
144,Nokaneng,BW,2021-11-06 03:22:36,-19.6667,22.2667,74.21,58,100,2.57
145,Puerto Plata,DO,2021-11-06 03:22:37,19.7934,-70.6884,78.15,94,20,0.0
146,Marihatag,PH,2021-11-06 03:22:37,8.7936,126.2969,86.67,66,100,7.11
147,Pevek,RU,2021-11-06 03:22:38,69.7008,170.3133,-10.17,93,5,6.73
148,Geraldton,AU,2021-11-06 03:22:21,-28.7667,114.6,72.01,46,0,16.11
149,East London,ZA,2021-11-06 03:22:38,-33.0153,27.9116,65.34,82,40,4.61
150,Barzas,RU,2021-11-06 03:22:39,55.7167,86.3167,23.23,93,100,14.23
151,Meulaboh,ID,2021-11-06 03:22:39,4.1363,96.1285,80.73,80,100,5.73
152,Gdynia,PL,2021-11-06 03:22:40,54.5189,18.5319,49.05,85,75,18.41
153,Torbay,CA,2021-11-06 03:22:41,47.6666,-52.7314,33.58,96,90,9.22
154,Almaty,KZ,2021-11-06 03:22:41,43.25,76.95,12.11,79,3,4.47
155,Burdur,TR,2021-11-06 03:21:37,37.7203,30.2908,39.9,87,0,1.14
156,Chuy,UY,2021-11-06 03:22:42,-33.6971,-53.4616,60.75,72,100,14.67
157,San Jose,US,2021-11-06 03:21:56,37.3394,-121.895,58.75,78,75,8.05
158,Sorland,NO,2021-11-06 03:22:12,67.667,12.6934,42.04,79,91,35.1
159,Laguna,US,2021-11-06 03:22:19,38.421,-121.4238,60.96,76,1,1.99
160,Cayenne,GF,2021-11-06 03:22:43,4.9333,-52.3333,77.09,92,75,1.14
161,Shitanjing,CN,2021-11-06 03:22:44,39.2342,106.3439,19.35,85,100,17.63
162,Ahipara,NZ,2021-11-06 03:22:45,-35.1667,173.1667,64.58,84,57,5.66
163,Kutum,SD,2021-11-06 03:22:45,14.2,24.6667,69.06,33,69,7.25
164,Santa Cruz De La Palma,ES,2021-11-06 03:22:46,28.6835,-17.7642,69.94,64,90,14.97
165,Isangel,VU,2021-11-06 03:22:46,-19.55,169.2667,80.71,74,75,6.91
166,Mar Del Plata,AR,2021-11-06 03:22:47,-38.0023,-57.5575,54.88,76,0,8.99
167,Oriximina,BR,2021-11-06 03:22:48,-1.7656,-55.8661,76.39,85,46,4.43
168,Port Alfred,ZA,2021-11-06 03:22:48,-33.5906,26.891,63.09,83,100,6.17
169,Katsuura,JP,2021-11-06 03:22:49,35.1333,140.3,66.24,55,24,11.59
170,Sindal,DK,2021-11-06 03:22:49,57.4712,10.2031,50.77,85,100,22.66
171,Barrow,US,2021-11-06 03:22:49,71.2906,-156.7887,26.62,80,90,31.07
172,Kamariotissa,GR,2021-11-06 03:22:50,40.4833,25.4667,62.65,89,79,1.19
173,Itarema,BR,2021-11-06 03:22:50,-2.9248,-39.9167,79.81,80,100,11.03
174,Padang,ID,2021-11-06 03:22:51,-0.9492,100.3543,80.65,82,100,4.16
175,Mayumba,GA,2021-11-06 03:22:51,-3.432,10.6554,76.78,89,100,4.68
