City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Fortuna,US,59.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
457,Faya,SA,57.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
458,Qui Nhon,VN,74.48,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
460,Korem,ET,52.61,few clouds,12.5058,39.5228,Lakomeliza Hotel
463,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
465,Lodja,CD,68.05,moderate rain,-3.4833,23.4333,
466,Zonguldak,TR,54.3,overcast clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
468,Virginia Beach,US,60.85,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
476,Salamiyah,SY,64.67,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
477,Hanmer Springs,NZ,69.22,clear sky,-42.5167,172.8167,The Chalets Motel
479,Kisangani,CD,71.47,light rain,0.5167,25.2,Grand Ramela Hotel
485,Utica,US,51.91,clear sky,43.1009,-75.2327,Days Inn by Wyndham Utica
486,Mattru,SL,74.86,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
490,Dargaville,NZ,68.63,clear sky,-35.9333,173.8833,Parkview Motel
491,Paithan,IN,67.87,clear sky,19.4833,75.3833,Prakash lahase
498,Kazerun,IR,61.68,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
499,Mao,ES,57.76,broken clouds,39.8885,4.2658,ARTIEM Capri
500,Kawambwa,ZM,70.54,overcast clouds,-9.7915,29.0791,Chembe Nsofu
501,Serik,TR,59.25,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
504,Thunder Bay,CA,56.98,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
506,Devils Lake,US,60.91,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
510,Apsheronsk,RU,52.39,broken clouds,44.46,39.73,Profilaktoriy Svetlyy
